text;label
Два года, начиная с 16, жила в странном состоянии - не чувствовала тела, реальности, других людей, ежедневные па. В общем, беспрерывная дереализация, как говорила невропатолог. Сходили недавно к психотерапевту. Поставили депрессию, прописали таблетки. Три врача подтвердили, что без медикаментов не смогу выбраться. Так вот, есть здесь те, кто смог выбраться из депрессии с помощью таблеток? Как это проходило? У вас появлялась зависимость? Что вы делали при приступах па, и как пережили адаптацию? Сразу скажу - у меня не хандра и не плохое настроение (скорее наоборот), а па лишь мелочь из того, что со мной происходит. Это диагностированная болезнь, в довольно тяжелой форме. Пишу это потому, что видела, как тут пишут, что депрессия не болезнь и вообще, лечите шоколадками. Да и в жизни с таким столкнулась.;депрессия
Прошу реального совета. Как вы вышли с депрессии? После долгой депрессии. И вообще...что такое депрессия? Не могу понять точно ли у меня депрессия. Так как я понимаю, то у меня скрытая депрессия уже 6 лет. А мне всего 22 года. Прошу только не пишите гадостей, пожалуйста. В мире и так много всего плохого.;депрессия
Мне кажется у меня депрессия! Уже никак не отходит. Молилась много раз медитировала на тренажёрный ходу ничего не помогает. Я живу не в своей родине и тут у меня нету никого кроме мужа и детей.как бороться с депрессией? Буду ли я чувствовать как прежде и интерес жизни вернётся после лечения депрессии? Кто поборол депрессию как вы себя почувствовали после? У меня страх что больше никогда не буду прежней;депрессия
Очень прошу помощи. Скажите, было ли у кого-то так при депрессии? Совсем недавно раздражалась, плакала и тому подобное, депрессия точно есть. Но сейчас почему то стало так, что эмоций никаких нет, и заплакать никак не получается. Может ли так быть? Депрессия ли все ещё это? Очень переживаю;депрессия
Здравствуйте! Мне 19 лет. Где-то с 13 лет мучаюсь с бессонницей, головокружениями, перепадами давления и т.д. Поставили диагноз вегето-сосудистая дистония. Потом ко всему этому прибавилась апатия, полное отсутствие мотивации делать что-либо. Каждый день когда просыпалась утром уже изначально не было настроения. Через некоторое время начали необоснованно одолевать страхи и тревоги, которых раньше не было никогда. Рассказала сестре, она сказала что у меня депрессия. Я сказала маме, она мне конечно не поверила. Только когда мне было 15 лет она и сама стала замечать что со мной что-то не так. Потащила меня в детский психо-неврологический диспансер на обследование. Те мне поставили диагноз депрессия. Кучу всего понавыписывали. Мать отказалась покупать мне эти лекарства, сказала что они очень сильные и я потом буду как овощ. Лечения не было никакого. С каждым годом становилось всё хуже и хуже. На данный момент меня ничто не способно обрадовать, заинтересовать и т.д. Хотелось бы радоваться жизни, но не получается. Обошла всех неврологов, психологов, психотерапевтов. Пила и антидепрессанты и транквилизаторы и снотворные. Ничего не помогает. Никаких психологических травм у меня никогда не было. Отношения в семье нормальные. Уже год мучаюсь с тревожным расстройством и паническими атаками. Причём, они безосновательны. Иногда накатывает такое странное ощущение, просто становится очень страшно что я вот так вот всю жизнь проведу. Неоднократно посещают суицидальные мысли. Пыталась порезать вены один раз. После этого на меня вся моя семья ополчилась и почти никто не общается со мной. Мол я эгоистка, не хочу понимать насколько им будет плохо, если я умру. Но вы понимаете, я весь этот год жила только ради мамы. Выжимала из себя последние силы. И сейчас у меня вообще сил не осталось. Постоянно угнетённое состояние, постоянно плачу без причины. О суициде стараюсь не думать, но мысли сами лезут. Помогите, пожалуйста! Очень хочу от всего этого избавиться и стать нормальным человеком!;депрессия
Девочки, помогите разобраться в себе. Даа месяца болела, практически постоянно дома либо в поликлинике у врачей. До болезни естественно была как белка в колесе, вся в работе. И скорее всего из за безделья...началась какая то апатия ко всему, ничего не интересно, настигли панические атаки, задумалась о бытие так сказать, навязчивые мысли какие то дурацкие...самой смешно что пишу такое...просто всегда была общительной и жизнерадостной..ни о чем таком не думала..только о сыне, о работе, о близких...а тут прямо напасть какая то. На прошлой неделе вышла на работу..навязчивые мысли пока еще роятся в голове. Состояние не то что угнетенное...мне даже не описать его. Сейчас смотрю любовь и голуби и смеюсь над фильмом. Говорят при депрессии люди не смеются. Девочки подскажите..это депрессия и пора к психотерапевту...или тупо переседела дома и со временем пройдет?;депрессия
Случилось в моей жизни так,что жизнь и карьера,если можно так выразиться,шла в гору.Успехи на работе,повышение по службе,хорошая з\п. Муж,ребенок,семья,все как у всех.Ничто не предвещало беды! Конфликт с подчиненными на работе,затянувшейся: разногласия в интересах. Конфликт был решен,мне предложили более выгодное место. Но увы и ах.Невроз,потом психиатрическая клиника,где поставили диагноз полиморфное психотическое расстройство и позже затяжная депрессия. Ходила до больницы к психологу,вроде толк был.Но мозг-это компьютер,я жила в другой реальности,ощущая себя то героем сериала,то проекта,то преследования с места работы,то галлюцинации и бред. От Веселого состояния то гремучей тоски. Все и не описать. Так вот. Пью антидепрессанты ,жизнь налаживается,работаю,улыбаюсь,как раньше. Вот думаю стоит ли идти к психологу,если все вроде бы и хорошо. Любящий муж,замечательная дочка,любимая работа,мама любящая момогает сидит с внучкой,а на душе пустота. Ищу свое предназначение,что бы чем-то ее заполнить,т.к. хобби сейчас нет,ибо нет желания что-либо делать. По психологии люблю читать книги. У кого была депрессия? кто как справлялся? Или кто-то может сейчас находится в таком состоянии. Друзья,отзовитесь,интересно.Давайте делиться мнениями.;депрессия
Меня только что побила мама, за то что сестрёнка не так сделала (ну так часто бывает) и побила то жёстко, раньше когда меня били я плакала, не рыдала но плакала от физической боли, но сейчас меня хуже побили, НО я не плачу, мне оочень больно оссобено рука, но я не плачу,пытаюсь но не могу,лицо как-будто каменное. Это психологическое? Я недавно проходила несколько тестов на депрессию, и все твердили что у меня глубокая депрессия, ещё симптомы: повышение аппетита, повышение сонливости, и нету никакого желания что либо делать, или даже отдыхать. Нужно ли психологу или нет? Если да то как маме сказать то?;депрессия
Анонимно пожалуйста!Два с половиной года назад, когда я приехала домой, у меня началась депрессия. Я нашла работу, ещё умела радоваться жизни, всё было нормально. Со временем работу поменяла, другую тоже бросила. Это всё бы ничего, я бы и другую смогла найти, но дело в том, что моя ничтожно малая депрессия переросла в клиническую, у меня абсолютно закончились силы, упадок моральный, упадок физический. Ступор. Даже когда пытаюсь взять себя в руки, то ненадолго, опять теряю себя. Раньше спортом занималась, теперь и это забросила, даже один раз отжаться не могу, постоянно сижу дома, отдалилась ото всех, ни с кем не общаюсь, ком в горле. Дайте пожалуйста совет, только без тапок. Может, к психиатру обратится?;депрессия
В последнее время нахожусь в депрессии.совсем ничего не хочется.у меня есть сын,работа,но ничего в жизни не радует.бывшего мужа видела с женой,а я замуж выйти никак не могу,устала быть одна.подскажите как выйти из депрессии ?;депрессия
Уже месяца 3-4 как, затяжная депрессия с приступами аритмии и сбоев в работе сердца. Это связано с переходом на работу с очень маленьким окладом и тем, что просвета впереди не наблюдается. Как решила, что депрессия? Проверяла сердце, никаких патологий не нашли. Однако, стала замечать, что после того, как устроилась на эту работу меня в жизни ничего не радует, даже вещи, которые радовали ранее , теперь не приносят ничего. Как быть?;депрессия
Всем привет,у меня возникла депрессия,нет энергии,Из за того что моя сестра начала заниматься наращиванием ресниц,и я тоже захотела заниматься данным делом,т.к у меня тоже это хорошо получается. С сестрой не сказать что в близких отношениях(сестра не родная)есть общие знакомые,друзья, родственники. Так вот депрессия возникла из за того что тоже хочу реализоваться в этой сфере,но с другой стороны гложит то что сестра и окружающиеподумает что я за ней повторяю,да и вообще боюсь что отношения испортятся,что начнется конкуренция,что она окажется лучше меня в этом деле и будет больше клиентов,но отказаться я от этого дела не могу. И теперь нахожусь полном ступоре и не знаю что делать,энергии нет совсем.жалею что эта идея первой не пришла мне в голову. Подскажите что делать?;депрессия
Купила Квартиру, машину, родила ребёнка(от второго брака, ребёнку год и 9 месяцев). Высшее образование + Аспирантура незаконченная. МБА законченный. Был первый развод, на горизонте второй развод. Должность - начальник отдела. Пришла к выводу, что не хочу жить. Я так устала. И кому все это надо? Нужен отдых? Я сейчас уже дня 4 на отдыхе (с подругой полетели, разссорились из-за того, что я в депрессии и хотела побыть одна - считает меня эгоистичной) и я вообще ничего не хочу. Полетела из-за депрессии, думала пройдёт... но чёт все хуже становится...хочу улететь на Бали с концами (продать квартиру, машину) - положить деньги на вклад и улететь лечить свои нервяки. В прошлый раз получилось. Перед малышом стыдно, что сейчас одна на море, без него...;депрессия
Здравствуйте! Хотелось бы посоветоваться с понимающими людьми. Жила с родителями до 29 лет,есть ребенок 9 лет. Периодически были ПА ,депрессия,но родители помогали выбраться из неё. Мама умерла,жили с отцом пол года,потом он встретил другую женщину и жил у неё,а частный дом где жили мы раньше,он начал ремонтировать,новый ремонт,а мы с дочкой на квартиру съехали ( квартира дедушки умершего). И прожили пол года с дочкой и опять депрессия,ПА, апатия. Понимаю,не выдерживаю одиночества(((. А потом отец вроде как переезжает обратно в новый дом с дамой своей. Вчера были в том доме,они там ремонт доделывают,такая теплота,почувствовался семейный очаг. Как быть? Прошу помощи;депрессия
"Здравствуйте!Хочу поделиться своей историей, а так же спросить совета.Мне 28, детей нет. Есть любимый человек и любимая работа. Симпатичная девушка без видимых проблем, но внутри...Наверное, корень зла в том, что я не нужна была родителям, воспитывалась бабушкой. Когда её не стало, я стала жить с родителями, которые меня не любили и не заботились обо мне, жизнь стала адом и я впала в глубокую депрессию (в возрасте 10 лет) и до сих пор не могу выйти из этого состояния до конца, оно тенью следует за мной.Была у многих врачей, от детского психолога до взрослого психотерапевта, советовали ""отпускать и прощать"" , писать письма и вести дневники. Да, я простила, но чувство бессмысленности жизни гасит любой огонек в моем сердце. Любая цель, которую я ставлю, рушится очень быстро. Мне просто неинтересно было жить. Депрессия росла, в какой-то момент я не могла обходиться без лекарств. Таблетки дают временный и слабый эффект, беседы с врачами - тоже. Единственный способ - отвлечь себя, чем-нибудь занимать, чтобы не было времени думать о жизни. Но.. как только я оказываюсь наедине со своими мыслями, я снова чувствую, что не хочу жить. У меня такое чувство, что я после смерти бабушки будто бы попала в ""чужой мир"", мир зла и боли, из которого хочу сбежать. Работаю в сфере, где есть доступ к оружию, и понимаю, что однажды выстрелю себе в голову. Врачи говорят, что у меня депрессивное видение мира + неправильное мышление, и что я осталась той маленькой девочкой, которой все еще 10 лет, которая так и не приняла этот ""новый мир зла"". Из-за всего этого я отказалась от идеи заводить детей, поскольку само слово ""детство"" ассоциируется у меня с болью и мучениями, а слово ""дети""= слову ""проблемы"". Если есть люди, которые смогли справиться с состоянием, похожим на мое, поделитесь, что вам помогло?";депрессия
Скажите, у кого была депрессия, но реально настоящая, могли ли вы общаться с людьми во время неё, хотели ли вообще? Вот я вообще не могу никак, замкнулась в себе совсем, перестала с кем либо общаться, нет даже желания, даже ответить теперь кому то даётся мне сложно. вот что депрессия это точно у меня, есть много других признаков, но это тут может быть? К тому же появилась дикая неуверенность в себе и честно уже незнаю как с ней жить. Даже переписываться ни с кем не хочу. Очень хочу узнать, пройдёт ли это состояние или нет, уже просто устала с ним ходить в школу, просто дикий адИногда сложно даже сходить куда то где есть люди, очень сильно себя заставляю, так как делать не хочется совсем ничего;депрессия
У кого была депрессия, то могли ли вы во время неё вообще с кем то общаться, или хотя бы что то спросить или попросить кого то сделать? Вот у меня вообще давно нет никаких эмоций, не могу нигде посмеяться, ни поддержать разговор ни с кем, да и вообще что то сказать. Замкнулась в себе ужасно сильно, что это доставляет очень сильный дискомфорт да и не точно я не могу так и вообще не хочется и нет желания, все стало совсем безразлично. Было ли у кого то такое? Как по мне, замое тяжелое в депрессии именно это, уже честно говоря надоело с этим жить и еле это выношу;депрессия
Очень хочу узнать, кому удавалась выбраться из депрессии. Нахожусь в ней уже несколько месяцев, но чувство, что уже намного больше. Учусь ещё в школе, но даже незнаю как буду в таком состоянии сдавать экзамены, которые уже через год,куда поступать тоже не понимаю. Не увлекаюсь почти ничем. Смотрю на других и понимаю, как они общаются, имеют много интересов, чем то увлекаются. А почему я нет, не понимаю. Перед этим я перестала дружить с моей подругой, тогда дружила я только с ней. После этого я позанималась с психологом, потому что подруга та была ужасна токсичная и только испортила мне самооценку и уверенность в себе. Вроде все стало нормально после этого всего. Был карантин, в школу не ходили тогда и мне очень хотелось общаться. После этого были проблемы и некоторые ссоры и отцом, я сильно расстраивалась. Вооьщем, сам по себе человек он противный, но суть не в этом. Переболела я ещё потом вроде как короной. Началась моя депрессия с ужасной слабостью, апатией ко всему пооисходящему и слезами,;депрессия
Девочки, в депрессии, семья рушится. Дочке два месяца, муж мой на протяжении беременности выпивал и ссорились часто, ревность, бытовуха и тд. Моя депрессия была еще до беременности и сейчас продолжается послеродовая. Он работает по трое суток, я дома постоянно с ребенком, так уж получилось,что подруг не успела завести в этом городе, родственники далеко и я нахожусь в одиночестве. Я ловила мужа на мелком вранье, типо того что он там кого-то хотел раньше, но не получилось или видела что он искал левых баб вк - на это он отпирался. Говорит люблю и тд, но дело уже дошло до развода, я подала заявление. Он на суд не хочет идти и вроде разводится тоже не хочет. Для нас он делает все, но мне кажется к доченьке он холодноват, или потому-что она очень маленькая и больше привыкла ко мне т.к. я дома с ней сутками, а он на работе, но когда что-то прошу все делает. Секса у нас все реже и не о чем, я спрашивала по этому поводу у него почему так, он говорит что я ему много выношу мозг на пустом месте , а это у него самая брошенная зона и поэтому он не может и не хочет после выяснений отношений,а происходят они очень часто, я вспыльчивая, к примеру общение с бывшей, я считаю это не норм, а он наоборот ( к слову мне 23, а ему 42 и бывшей тоже) как они говорят что с возрастом ко мне придёт это, и что я тоже захочу со многими поддерживать отношения, чувств у него точно к ней нет, тем более она не в России, а в Казахстане и сейчас он говорит типо не созввнивается с ней, но я знаю что да, она к слову замужем. Мне не хватает от него внимания, я хочу секса на дворе весна. #брак #дети #отношения #секс;депрессия
Мне скоро 20 я работаю и учусь, многие подруги выходят замуж, как-то меньше друзей и вообще кажется что уже не будет ничего интересного, каждый день одно и тоже , наверно период у мня такой депрессия наверно,, потому что последний месяц плохо сплю бегаю по врачам, еще и жизнь скучная стала (убивают мысли о том что все не так как хотелось, страшно что дальше будет ещё хуже и скучнее. Всю жизнь будет одно и тоже, работа дом и тд Меня то резко попускает, то опять эти мысли ужасные. Просто моментами кажется все бессмысленным и серым У кого такое было, и прошло ли? #депрессия;депрессия
Скажите девушкиЯ встречаюсь с парнем почти три года,все эти три года он меня обижает но признаёт что скучает вспоминает любовь нашу и мы так оба не можем друг без другаУ меня есть внутри понимание что это онМоя половинка,настоящая любовь Но я устала,у меня депрессия ,я неуверенный в себе человек,не ценю себя,сейчас лечусь на антидепрессантах,все это из-за него и моей семьи,я устала,я его ненавижу и люблю,сейчас я названиваю в очередной раз,я не вижу счастья в будущем,я неудачница,что мне делать,я понимаю что он тот самый но я уже невыдерживаю его отношения,я его всем сердцем ненавижу и убить хочу,как мне передать думать о нем названивать ,как забыть обиды,кто-нибудь выходил из огромной дыры в своей жизни? #депрессия #нуженсовет;депрессия
Похоже ли мое состояние на депрессию ?У меня в голове пелена (мысли смешиваются,сны,мысли,воспоминания)каша…Так же планировали малыша с мужем второго(а у меня внутри как стопор,мол страшно…я будто не вижу себя что выйду с этого состояния..страх и боязнь что-то конец)пугает то что я не ощущаю проходящих дней..потерялась в днях,не ощущаю тех эмоций и красок..а внутри у меня вращение моего тела,состояние будто упаду,будто вывернет меня..Каждый день мысли только о моем состояние Прошу вас подсказать #здоровье #депрессия;депрессия
Депрессия аж жить не хочется... Здравствуйте, не знаю как писать, и с чего начать, очень тяжело, хочется все бросить и убежать не останавливаясь. Всё наверно началось ещё с 98 года, тогда я потеряла своего дедушку, который был мне почти так же как и папа. А потом пошли близкие даже друзья. Думала что это было для меня самое страшное.Но оказывается это были цветочки... 2012 тонет брат двоюродный и на следующий год 2013 3 сентября погибает 8 летний единственный сын. Для меня тогда вообще все рухнуло, пыталась с собой несколько раз покончить не получилось, всегда что то мешало или кто то не вовремя появлялся. Алкоголь не спасал, не подумайте я не любительница с этим делом. Семья рушилась, да и мне было все равно. Потом забеременела, но снова боль, девочка рождается мёртвой. Решила с мужем что больше не будем стараться. Но начались споры, упрёки, муж начал курить *** и пить, началось рукоприкладство. Я терпела, сама не знаю зачем, а потом беременность, врачи говорили про аборт, но я решилась, и слава богу родился здоровый и крепкий мальчик. Но только мужу как будто бы было все равно, я всем занималась сама помощи от него было ждать бесполезно. Но я справилась вроде.И в 2018 я снова беременную с противозачаточными. Решаюсь. Снова мальчик, я рада конечно, сейчас одному 4 год пошёл, а младшему в ноябре пол года исполнилось. И беда моя в том что я не все хчто хочу успеваю, а муж вообще решил что деньги какую то часть приношу и радуйся. В основном в дом все я таскаю, беру разные подработки на дому, чтоб все было. Родители слава богу живы, но у них не попрошу, лучше сама ещё им подкину. И со всем этим дети, дом заработок, готовка,в общем быт.... Я устала, и боль потерь не умолкает, и вообще устала... Детей люблю безумно, но не хватает помощи. И выдыхаешся. Устала.....;депрессия
Депрессия сильная , у кого была;депрессия
#депрессия;депрессия
